Model,CV F1,CV Std,Test F1,Test Acc,Test AUC
XGBoost,0.8462788804486696,0.006101120026703527,0.8513094060833479,0.9413654618473896,0.9864420110131515
LightGBM,0.848956380491759,0.005767729705932159,0.8386555243588395,0.9381526104417671,0.9853796665475777
VanillaDNN,0.8066958001133427,0.005774118237133395,0.8201531292468219,0.9204819277108434,0.9708535345469214
FT-Transformer,0.8016619460448787,0.00669868116181609,0.8152894309268777,0.9192771084337349,0.9751167486451265
Ensemble,,,0.8431310481692161,0.936144578313253,0.9827892096032396
Ensemble+Thresh,,,0.8543443927925628,0.9453815261044177,0.9827892096032396
